threshold,true_positive,false_positive,false_negative,true_negative,accuracy,balanced_accuracy,precision,recall,f1,predicted_positive_rate,predicted_positive_count,expected_business_value,expected_business_value_per_session,scenario,selection
0.5,288,214,94,1870,0.8751013787510138,0.8256197807277588,0.5737051792828686,0.7539267015706806,0.6515837104072398,0.2035685320356853,502,5332.0,2.16220600162206,with_page_values,default_0.50
0.57,272,156,110,1928,0.8921330089213301,0.8185929193757474,0.6355140186915887,0.7120418848167539,0.6716049382716048,0.1735604217356042,428,5128.0,2.0794809407948094,with_page_values,best_f1
0.38,328,303,54,1781,0.8552311435523114,0.8566226346836028,0.5198098256735341,0.8586387434554974,0.6475814412635735,0.25587996755879966,631,5954.0,2.4144363341443635,with_page_values,best_balanced_accuracy
0.29,343,422,39,1662,0.8130575831305759,0.8477052788133975,0.44836601307189544,0.8979057591623036,0.5980819529206627,0.3102189781021898,765,6016.0,2.4395782643957826,with_page_values,best_business_value
