scenario,threshold,true_positive,false_positive,false_negative,true_negative,accuracy,balanced_accuracy,precision,recall,f1,predicted_positive_rate,predicted_positive_count,expected_business_value,expected_business_value_per_session
with_page_values,0.61,252,127,130,1957,0.8957826439578265,0.7993726824170193,0.6649076517150396,0.6596858638743456,0.6622864651773982,0.15369018653690186,379,4786.0,1.9407948094079481
with_page_values,0.62,249,122,133,1962,0.8965936739659367,0.7966455969691792,0.6711590296495957,0.6518324607329843,0.6613545816733069,0.15044606650446066,371,4736.0,1.9205190592051906
with_page_values,0.63,241,113,141,1971,0.8969991889699919,0.7883337018018108,0.6807909604519774,0.6308900523560209,0.654891304347826,0.1435523114355231,354,4594.0,1.8629359286293592
with_page_values,0.64,237,110,145,1974,0.8965936739659367,0.7838178693812744,0.6829971181556196,0.6204188481675392,0.6502057613168724,0.14071370640713707,347,4520.0,1.832927818329278
with_page_values,0.65,229,104,153,1980,0.8957826439578265,0.7747862045402016,0.6876876876876877,0.599476439790576,0.6405594405594406,0.13503649635036497,333,4372.0,1.7729115977291159
with_page_values,0.66,223,100,159,1984,0.8949716139497161,0.7678924942971128,0.6904024767801857,0.5837696335078534,0.6326241134751772,0.13098134630981345,323,4260.0,1.7274939172749393
with_page_values,0.67,216,94,166,1990,0.894566098945661,0.7601697299796002,0.6967741935483871,0.5654450261780105,0.624277456647399,0.12570965125709652,310,4132.0,1.67558799675588
with_page_values,0.68,206,84,176,2000,0.894566098945661,0.7494799569896795,0.7103448275862069,0.5392670157068062,0.6130952380952381,0.11759935117599352,290,3952.0,1.6025952960259529
with_page_values,0.69,201,80,181,2004,0.8941605839416058,0.743895147270151,0.7153024911032029,0.5261780104712042,0.6063348416289592,0.11394971613949716,281,3860.0,1.5652879156528792
with_page_values,0.7,199,73,183,2011,0.8961881589618816,0.7429568087950076,0.7316176470588235,0.5209424083769634,0.6085626911314984,0.11030008110300081,272,3834.0,1.5547445255474452
with_page_values,0.71,195,65,187,2019,0.8978102189781022,0.7396405924973118,0.75,0.5104712041884817,0.6074766355140188,0.10543390105433902,260,3770.0,1.5287915652879156
with_page_values,0.72,191,58,191,2026,0.8990267639902676,0.736084452975048,0.7670682730923695,0.5,0.6053882725832013,0.10097323600973236,249,3704.0,1.5020275750202758
with_page_values,0.73,176,52,206,2032,0.8953771289537713,0.7178904844690537,0.7719298245614035,0.4607329842931937,0.5770491803278688,0.09245742092457421,228,3416.0,1.3852392538523925
with_page_values,0.74,162,51,220,2033,0.8901054339010543,0.6998058003637789,0.7605633802816901,0.42408376963350786,0.5445378151260504,0.08637469586374696,213,3138.0,1.2725060827250607
with_page_values,0.75,155,49,227,2035,0.8880778588807786,0.6911233431479937,0.7598039215686274,0.40575916230366493,0.5290102389078498,0.0827250608272506,204,3002.0,1.2173560421735605
