scenario,feature,importance_mean,importance_std
without_page_values,ExitRates,0.033778973382769625,0.012925227608818786
without_page_values,ProductRelated_Duration,0.03107336813401702,0.012301324862703883
without_page_values,Month,0.026856991263393016,0.0027669702845783527
without_page_values,VisitorType,0.016930466681359734,0.0047496551317311765
without_page_values,BounceRates,0.014019604929548546,0.00815515011402232
without_page_values,Weekend,0.009192121418895116,0.003597289635344882
without_page_values,Region,0.004920673058602998,0.0023831446915295227
without_page_values,Administrative,0.004885990314905719,0.00268778787238303
without_page_values,ProductRelated,0.00397680539603068,0.005699545402134539
without_page_values,TrafficType,0.0038541765457546172,0.008526112383937932
without_page_values,Informational,0.0028710741425529763,0.0014510544356330975
without_page_values,Browser,0.001117220747932357,0.0013400000415743124
without_page_values,Administrative_Duration,-7.828264196180212e-05,0.004259985607959946
without_page_values,Informational_Duration,-0.0009286435307691243,0.002020363905996057
without_page_values,SpecialDay,-0.0018743430143008833,0.002521692189529285
without_page_values,OperatingSystems,-0.003974708621108047,0.002454581372148029
