scenario,feature,importance_mean,importance_std
with_page_values,PageValues,0.40825213102159674,0.007124350825468292
with_page_values,Month,0.011867338302975506,0.006107957716006889
with_page_values,Administrative,0.004221090969712238,0.003101322929440322
with_page_values,Browser,0.0018052827797110371,0.002125025838394324
with_page_values,SpecialDay,0.0016840447415956694,0.0011827546674430902
with_page_values,ProductRelated_Duration,0.0012219563246217869,0.0017609069173201417
with_page_values,Region,0.0006535910145467394,0.002264891264258681
with_page_values,TrafficType,0.0005418090244902584,0.0011927782632584125
with_page_values,OperatingSystems,5.9593700161397756e-05,0.0022855254337620554
with_page_values,Informational,-0.00037715089097856147,0.0016653296949115724
with_page_values,ProductRelated,-0.0012720562252888756,0.002549488783382423
with_page_values,Administrative_Duration,-0.0012741964495884383,0.0019968477875525804
with_page_values,VisitorType,-0.0013468627767617258,0.0017563057996144921
with_page_values,Informational_Duration,-0.0019985205162416976,0.0026479689343050835
with_page_values,Weekend,-0.0036499936329084546,0.0016123720788120421
with_page_values,BounceRates,-0.004170629422280259,0.006348737742935717
with_page_values,ExitRates,-0.00967627812191454,0.005135492931893402
