threshold,true_positive,false_positive,false_negative,true_negative,accuracy,balanced_accuracy,precision,recall,f1,predicted_positive_rate,predicted_positive_count,expected_business_value,expected_business_value_per_session,scenario,selection
0.5,288,214,94,1870,0.8751013787510138,0.8256197807277588,0.5737051792828686,0.7539267015706806,0.6515837104072398,0.2035685320356853,502,5332.0,2.16220600162206,with_page_values,default_0.50
0.57,272,156,110,1928,0.8921330089213301,0.8185929193757474,0.6355140186915887,0.7120418848167539,0.6716049382716048,0.1735604217356042,428,5128.0,2.0794809407948094,with_page_values,best_f1
0.29,343,422,39,1662,0.8130575831305759,0.8477052788133975,0.44836601307189544,0.8979057591623036,0.5980819529206627,0.3102189781021898,765,6016.0,2.4395782643957826,with_page_values,best_business_value
0.5,257,649,125,1435,0.6861313868613139,0.6806772618102521,0.2836644591611479,0.6727748691099477,0.39906832298136646,0.36739659367396593,906,3842.0,1.5579886455798864,without_page_values,default_0.50
0.58,181,340,201,1744,0.7806163828061639,0.6553370984112309,0.3474088291746641,0.4738219895287958,0.4008859357696567,0.21127331711273317,521,2940.0,1.1922141119221412,without_page_values,best_f1
0.33,350,1181,32,903,0.508110300081103,0.6747658550311021,0.2286087524493795,0.9162303664921466,0.36591740721380034,0.6208434712084347,1531,4638.0,1.880778588807786,without_page_values,best_business_value
