,with_page_values,without_page_values,delta_with_minus_without
accuracy,0.8751013787510138,0.6861313868613139,0.18896999188969987
balanced_accuracy,0.8256197807277588,0.6806772618102521,0.14494251891750665
precision,0.5737051792828686,0.2836644591611479,0.29004072012172066
recall,0.7539267015706806,0.6727748691099477,0.08115183246073299
f1,0.6515837104072398,0.39906832298136646,0.25251538742587337
roc_auc,0.9201796786284934,0.757181366884063,0.16299831174443036
pr_auc,0.7108731856169974,0.3529025555443923,0.3579706300726051
