scenario,feature,importance_mean,importance_std
with_page_values,PageValues,0.4058352678056686,0.008393441395420234
with_page_values,Month,0.011564586006099508,0.0055426060848850186
with_page_values,Administrative,0.00434822652882223,0.004265409198312611
with_page_values,ProductRelated_Duration,0.0028531689920239245,0.002505727599048636
with_page_values,Region,0.0018126002492162563,0.004440159807484128
with_page_values,TrafficType,0.0013175951930411989,0.002949735928555545
with_page_values,SpecialDay,0.00123394405535735,0.0023018455222348893
with_page_values,Browser,-0.0005090340285313522,0.0012944325786249558
with_page_values,VisitorType,-0.0010530506331505097,0.0020617571928206453
with_page_values,Informational,-0.0011191295330631901,0.001797179956552787
with_page_values,OperatingSystems,-0.001961710610139922,0.001610544393728221
with_page_values,Administrative_Duration,-0.002110974862307868,0.0033887477118126393
with_page_values,Informational_Duration,-0.0024492282693411084,0.0022155184383139876
with_page_values,Weekend,-0.003510113617052757,0.0010390866461908797
with_page_values,ProductRelated,-0.004359864808394698,0.0023184850542379764
with_page_values,BounceRates,-0.004498094591633151,0.0031164562710012567
with_page_values,ExitRates,-0.009953698605448391,0.004742813658486764
