scenario,feature,importance_mean,importance_std
with_page_values,PageValues,0.40825213102159674,0.007124350825468292
with_page_values,Month,0.011867338302975506,0.006107957716006889
with_page_values,Administrative,0.004221090969712238,0.003101322929440322
with_page_values,Browser,0.0018052827797110371,0.002125025838394324
with_page_values,SpecialDay,0.0016840447415956694,0.0011827546674430902
with_page_values,ProductRelated_Duration,0.0012219563246217869,0.0017609069173201417
with_page_values,Region,0.0006535910145467394,0.002264891264258681
with_page_values,TrafficType,0.0005418090244902584,0.0011927782632584125
with_page_values,OperatingSystems,5.9593700161397756e-05,0.0022855254337620554
with_page_values,Informational,-0.00037715089097856147,0.0016653296949115724
with_page_values,ProductRelated,-0.0012720562252888756,0.002549488783382423
with_page_values,Administrative_Duration,-0.0012741964495884383,0.0019968477875525804
with_page_values,VisitorType,-0.0013468627767617258,0.0017563057996144921
with_page_values,Informational_Duration,-0.0019985205162416976,0.0026479689343050835
with_page_values,Weekend,-0.0036499936329084546,0.0016123720788120421
with_page_values,BounceRates,-0.004170629422280259,0.006348737742935717
with_page_values,ExitRates,-0.00967627812191454,0.005135492931893402
without_page_values,ExitRates,0.033778973382769625,0.012925227608818786
without_page_values,ProductRelated_Duration,0.03107336813401702,0.012301324862703883
without_page_values,Month,0.026856991263393016,0.0027669702845783527
without_page_values,VisitorType,0.016930466681359734,0.0047496551317311765
without_page_values,BounceRates,0.014019604929548546,0.00815515011402232
without_page_values,Weekend,0.009192121418895116,0.003597289635344882
without_page_values,Region,0.004920673058602998,0.0023831446915295227
without_page_values,Administrative,0.004885990314905719,0.00268778787238303
without_page_values,ProductRelated,0.00397680539603068,0.005699545402134539
without_page_values,TrafficType,0.0038541765457546172,0.008526112383937932
without_page_values,Informational,0.0028710741425529763,0.0014510544356330975
without_page_values,Browser,0.001117220747932357,0.0013400000415743124
without_page_values,Administrative_Duration,-7.828264196180212e-05,0.004259985607959946
without_page_values,Informational_Duration,-0.0009286435307691243,0.002020363905996057
without_page_values,SpecialDay,-0.0018743430143008833,0.002521692189529285
without_page_values,OperatingSystems,-0.003974708621108047,0.002454581372148029
