scenario,threshold,true_positive,false_positive,false_negative,true_negative,accuracy,balanced_accuracy,precision,recall,f1,predicted_positive_rate,predicted_positive_count,expected_business_value,expected_business_value_per_session
without_page_values,0.61,146,252,236,1832,0.8021086780210868,0.6306388238486198,0.36683417085427134,0.38219895287958117,0.3743589743589743,0.16139497161394972,398,2416.0,0.9797242497972425
without_page_values,0.62,137,228,245,1856,0.8081914030819141,0.6246168765262132,0.37534246575342467,0.3586387434554974,0.3668005354752343,0.14801297648012976,365,2284.0,0.9261962692619627
without_page_values,0.63,130,197,252,1887,0.8179237631792377,0.622892192822904,0.39755351681957185,0.3403141361256545,0.3667136812411847,0.13260340632603407,327,2206.0,0.894566098945661
without_page_values,0.64,123,178,259,1906,0.8227899432278994,0.6182884304247771,0.40863787375415284,0.3219895287958115,0.36017569546120054,0.12206001622060016,301,2104.0,0.8532035685320357
without_page_values,0.65,118,154,264,1930,0.8304947283049473,0.6175020851966114,0.4338235294117647,0.3089005235602094,0.3608562691131499,0.11030008110300081,272,2052.0,0.8321167883211679
without_page_values,0.66,109,135,273,1949,0.8345498783454988,0.6102805217513642,0.44672131147540983,0.28534031413612565,0.3482428115015974,0.0989456609894566,244,1910.0,0.7745336577453366
without_page_values,0.67,102,125,280,1959,0.8357664233576643,0.6035174503321241,0.44933920704845814,0.2670157068062827,0.33497536945812806,0.09205190592051905,227,1790.0,0.7258718572587186
without_page_values,0.68,94,110,288,1974,0.8386050283860503,0.5966450945121645,0.46078431372549017,0.24607329842931938,0.32081911262798635,0.0827250608272506,204,1660.0,0.6731549067315491
without_page_values,0.69,81,97,301,1987,0.8386050283860503,0.5827483896252675,0.4550561797752809,0.21204188481675393,0.2892857142857143,0.07218167072181671,178,1426.0,0.578264395782644
without_page_values,0.7,77,83,305,2001,0.8426601784266018,0.5808717126749806,0.48125,0.20157068062827224,0.28413284132841327,0.064882400648824,160,1374.0,0.5571776155717761
without_page_values,0.71,71,71,311,2013,0.8450932684509327,0.5758973882284371,0.5,0.18586387434554974,0.27099236641221375,0.0575831305758313,142,1278.0,0.5182481751824818
without_page_values,0.72,64,63,318,2021,0.8454987834549879,0.5686544703600607,0.5039370078740157,0.16753926701570682,0.2514734774066798,0.05150040551500405,127,1154.0,0.46796431467964317
without_page_values,0.73,62,50,320,2034,0.8499594484995945,0.569155671232326,0.5535714285714286,0.16230366492146597,0.2510121457489879,0.0454176804541768,112,1140.0,0.46228710462287104
without_page_values,0.74,54,43,328,2041,0.8495539334955393,0.5603639296158214,0.5567010309278351,0.14136125654450263,0.2254697286012526,0.03933495539334955,97,994.0,0.40308191403081917
without_page_values,0.75,41,37,341,2047,0.8467153284671532,0.5447877621569475,0.5256410256410257,0.10732984293193717,0.17826086956521742,0.031630170316301706,78,746.0,0.30251419302514193
without_page_values,0.76,32,32,350,2052,0.8450932684509327,0.5342072735677463,0.5,0.08376963350785341,0.14349775784753366,0.025952960259529603,64,576.0,0.23357664233576642
without_page_values,0.77,28,24,354,2060,0.8467153284671532,0.5308910572700506,0.5384615384615384,0.07329842931937172,0.12903225806451613,0.021086780210867802,52,512.0,0.20762368207623683
without_page_values,0.78,16,18,366,2066,0.8442822384428224,0.5166237903347368,0.47058823529411764,0.041884816753926704,0.07692307692307691,0.013787510137875101,34,284.0,0.1151662611516626
without_page_values,0.79,9,11,373,2073,0.8442822384428224,0.5091409492417924,0.45,0.02356020942408377,0.04477611940298507,0.008110300081103,20,158.0,0.0640713706407137
without_page_values,0.8,6,8,376,2076,0.8442822384428224,0.5059340173448161,0.42857142857142855,0.015706806282722512,0.0303030303030303,0.0056772100567721,14,104.0,0.042173560421735604
without_page_values,0.81,4,5,378,2079,0.8446877534468775,0.5040359859714001,0.4444444444444444,0.010471204188481676,0.020460358056265983,0.0036496350364963502,9,70.0,0.028386050283860504
without_page_values,0.82,1,3,381,2081,0.8442822384428224,0.5005891308498558,0.25,0.002617801047120419,0.005181347150259068,0.0016220600162206002,4,14.0,0.0056772100567721
without_page_values,0.83,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.84,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.85,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.86,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.87,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.88,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.89,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.9,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.91,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.92,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.93,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.94,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
without_page_values,0.95,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
