threshold,true_positive,false_positive,false_negative,true_negative,accuracy,balanced_accuracy,precision,recall,f1,predicted_positive_rate,predicted_positive_count,expected_business_value,expected_business_value_per_session,scenario,selection
0.5,257,649,125,1435,0.6861313868613139,0.6806772618102521,0.2836644591611479,0.6727748691099477,0.39906832298136646,0.36739659367396593,906,3842.0,1.5579886455798864,without_page_values,default_0.50
0.58,181,340,201,1744,0.7806163828061639,0.6553370984112309,0.3474088291746641,0.4738219895287958,0.4008859357696567,0.21127331711273317,521,2940.0,1.1922141119221412,without_page_values,best_f1
0.45,291,818,91,1266,0.6313868613138686,0.6846328546592839,0.2623985572587917,0.7617801047120419,0.39034205231388325,0.4497161394971614,1109,4184.0,1.6966747769667478,without_page_values,best_balanced_accuracy
0.33,350,1181,32,903,0.508110300081103,0.6747658550311021,0.2286087524493795,0.9162303664921466,0.36591740721380034,0.6208434712084347,1531,4638.0,1.880778588807786,without_page_values,best_business_value
